Twitter_TimeZone,Twitter_UTCOffset,Twitter_TimeZone_DisplayValue,CountryCode,TimeZone_Id,Continent,Qualifier_CountryStateProvince,Location_Name,GMTOffset_1Jan,DSTOffset_1Jul,RawOffset,Latitude,Longitude
,,,CI,Africa/Abidjan,Africa,,Abidjan,0,0,0,5.30966,-4.01266
,,,GH,Africa/Accra,Africa,,Accra,0,0,0,5.55602,-0.1969
,,,ET,Africa/Addis_Ababa,Africa,,Addis Ababa,3,3,3,9.02497,38.74689
,,,DZ,Africa/Algiers,Africa,,Algiers,1,1,1,36.7525,3.04197
,,,ER,Africa/Asmara,Africa,,Asmara,3,3,3,15.33805,38.93184
,,,ML,Africa/Bamako,Africa,,Bamako,0,0,0,12.65,-8
,,,CF,Africa/Bangui,Africa,,Bangui,1,1,1,4.36122,18.55496
,,,GM,Africa/Banjul,Africa,,Banjul,0,0,0,13.45274,-16.57803
,,,GW,Africa/Bissau,Africa,,Bissau,0,0,0,11.86357,-15.59767
,,,MW,Africa/Blantyre,Africa,,Blantyre,2,2,2,-15.78499,35.00854
,,,CG,Africa/Brazzaville,Africa,,Brazzaville,1,1,1,-4.26613,15.28318
,,,BI,Africa/Bujumbura,Africa,,Bujumbura,2,2,2,-3.3822,29.3644
Cairo,7200,(GMT+02:00) Cairo,EG,Africa/Cairo,Africa,,Cairo,2,2,2,30.06263,31.24967
Casablanca,0,(GMT) Casablanca,MA,Africa/Casablanca,Africa,,Casablanca,0,0,0,33.58831,-7.61138
,,,ES,Africa/Ceuta,Africa,,Ceuta,1,2,1,35.88933,-5.31979
,,,GN,Africa/Conakry,Africa,,Conakry,0,0,0,9.53795,-13.67729
,,,SN,Africa/Dakar,Africa,,Dakar,0,0,0,14.6937,-17.44406
,,,TZ,Africa/Dar_es_Salaam,Africa,,Dar es Salaam,3,3,3,-6.82349,39.26951
,,,DJ,Africa/Djibouti,Africa,,Djibouti,3,3,3,11.58901,43.14503
,,,CM,Africa/Douala,Africa,,Douala,1,1,1,4.04827,9.70428
,,,EH,Africa/El_Aaiun,Africa,,El Aaiun,0,0,0,27.153611,-13.203333
,,,SL,Africa/Freetown,Africa,,Freetown,0,0,0,8.484,-13.22994
